22:03:01.915394 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 517:561, ack 504, win 938, options [nop,nop,TS val 2013284374 ecr 1967649788], length 44
22:03:03.430982 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 504:540, ack 561, win 501, options [nop,nop,TS val 1967651428 ecr 2013284374], length 36
22:03:03.556471 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 561:597, ack 540, win 938, options [nop,nop,TS val 2013286016 ecr 1967651428], length 36
22:03:05.068675 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 540:576, ack 597, win 501, options [nop,nop,TS val 1967653065 ecr 2013286016], length 36
22:03:05.194020 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 597:641, ack 576, win 938, options [nop,nop,TS val 2013287653 ecr 1967653065], length 44
22:03:07.730817 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 576:612, ack 641, win 501, options [nop,nop,TS val 1967655727 ecr 2013287653], length 36
22:03:07.855369 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 641:677, ack 612, win 938, options [nop,nop,TS val 2013290314 ecr 1967655727], length 36
22:03:09.163825 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 612:648, ack 677, win 501, options [nop,nop,TS val 1967657160 ecr 2013290314], length 36
22:03:09.287724 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 677:721, ack 648, win 938, options [nop,nop,TS val 2013291747 ecr 1967657160], length 44
22:03:11.315040 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 648:684, ack 721, win 501, options [nop,nop,TS val 1967659312 ecr 2013291747], length 36
22:03:11.438771 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 721:757, ack 684, win 938, options [nop,nop,TS val 2013293899 ecr 1967659312], length 36
22:03:13.259941 IP archlinux.48796 > ec2-54-173-202-183.compute-1.amazonaws.com.ssh: Flags [P.], seq 684:720, ack 757, win 501, options [nop,nop,TS val 1967661256 ecr 2013293899], length 36
22:03:13.381797 IP ec2-54-173-202-183.compute-1.amazonaws.com.ssh > archlinux.48796: Flags [P.], seq 757:801, ack 720, win 938, options [nop,nop,TS val 2013295842 ecr 1967661256], length 44
