00:35:07.721939 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 3005:3049, ack 1440, win 938, options [nop,nop,TS val 3824314168 ecr 1936811537], length 44
00:35:12.224240 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1440:1476, ack 3049, win 501, options [nop,nop,TS val 1936816148 ecr 3824314168], length 36
00:35:12.320830 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 3049:3085, ack 1476, win 938, options [nop,nop,TS val 3824318768 ecr 1936816148], length 36
00:35:12.477302 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1476:1512, ack 3085, win 501, options [nop,nop,TS val 1936816401 ecr 3824318768], length 36
00:35:12.569061 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 3085:3121, ack 1512, win 938, options [nop,nop,TS val 3824319017 ecr 1936816401], length 36
00:35:13.029260 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1512:1548, ack 3121, win 501, options [nop,nop,TS val 1936816953 ecr 3824319017], length 36
00:35:13.127268 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 3121:3157, ack 1548, win 938, options [nop,nop,TS val 3824319574 ecr 1936816953], length 36
00:35:13.266288 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1548:1584, ack 3157, win 501, options [nop,nop,TS val 1936817190 ecr 3824319574], length 36
00:35:13.360529 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 3157:3193, ack 1584, win 938, options [nop,nop,TS val 3824319807 ecr 1936817190], length 36
00:35:13.643128 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1584:1620, ack 3193, win 501, options [nop,nop,TS val 1936817567 ecr 3824319807], length 36
00:35:13.735319 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 3193:3229, ack 1620, win 938, options [nop,nop,TS val 3824320183 ecr 1936817567], length 36
00:35:13.859862 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1620:1656, ack 3229, win 501, options [nop,nop,TS val 1936817784 ecr 3824320183], length 36
00:35:13.955118 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 3229:3265, ack 1656, win 938, options [nop,nop,TS val 3824320403 ecr 1936817784], length 36
00:35:14.155682 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1656:1692, ack 3265, win 501, options [nop,nop,TS val 1936818080 ecr 3824320403], length 36
00:35:14.246835 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 3265:3301, ack 1692, win 938, options [nop,nop,TS val 3824320695 ecr 1936818080], length 36
00:35:14.462410 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1692:1728, ack 3301, win 501, options [nop,nop,TS val 1936818387 ecr 3824320695], length 36
00:35:14.555946 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 3301:3337, ack 1728, win 938, options [nop,nop,TS val 3824321003 ecr 1936818387], length 36
00:35:14.577524 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1728:1764, ack 3337, win 501, options [nop,nop,TS val 1936818502 ecr 3824321003], length 36
00:35:14.670457 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 3337:3373, ack 1764, win 938, options [nop,nop,TS val 3824321117 ecr 1936818502], length 36
00:35:14.872773 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1764:1800, ack 3373, win 501, options [nop,nop,TS val 1936818797 ecr 3824321117], length 36
00:35:14.966862 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 3373:3409, ack 1800, win 938, options [nop,nop,TS val 3824321413 ecr 1936818797], length 36
00:35:15.179081 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1800:1836, ack 3409, win 501, options [nop,nop,TS val 1936819103 ecr 3824321413], length 36
00:35:15.271660 IP ec2-3-82-198-45.compute-1.amazonaws.com.ssh > archlinux.33004: Flags [P.], seq 3409:3445, ack 1836, win 938, options [nop,nop,TS val 3824321719 ecr 1936819103], length 36
00:35:15.414828 IP archlinux.33004 > ec2-3-82-198-45.compute-1.amazonaws.com.ssh: Flags [P.], seq 1836:1872, ack 3445, win 501, options [nop,nop,TS val 1936819339 ecr 3824321719], length 36
