13:39:39.321055 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3705:3741, ack 7946, win 501, options [nop,nop,TS val 4021138469 ecr 3038586095], length 36
13:39:39.411911 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3741:3777, ack 7946, win 501, options [nop,nop,TS val 4021138560 ecr 3038586255], length 36
13:39:39.413812 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 7946:7982, ack 3741, win 938, options [nop,nop,TS val 3038586323 ecr 4021138469], length 36
13:39:39.449809 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3777:3813, ack 7982, win 501, options [nop,nop,TS val 4021138598 ecr 3038586347], length 36
13:39:39.507652 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 7982:8018, ack 3813, win 938, options [nop,nop,TS val 3038586415 ecr 4021138598], length 36
13:39:39.544040 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 8018:8054, ack 3813, win 938, options [nop,nop,TS val 3038586453 ecr 4021138656], length 36
13:39:39.561063 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3813:3849, ack 8054, win 501, options [nop,nop,TS val 4021138709 ecr 3038586453], length 36
13:39:39.626702 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3849:3885, ack 8054, win 501, options [nop,nop,TS val 4021138775 ecr 3038586495], length 36
13:39:39.654304 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 8054:8090, ack 3885, win 938, options [nop,nop,TS val 3038586562 ecr 4021138775], length 36
13:39:39.690539 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3885:3921, ack 8090, win 501, options [nop,nop,TS val 4021138839 ecr 3038586562], length 36
13:39:39.720332 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 8090:8126, ack 3921, win 938, options [nop,nop,TS val 3038586629 ecr 4021138839], length 36
13:39:39.741241 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3921:3957, ack 8126, win 501, options [nop,nop,TS val 4021138889 ecr 3038586629], length 36
13:39:39.788263 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 8126:8162, ack 3957, win 938, options [nop,nop,TS val 3038586693 ecr 4021138889], length 36
13:39:39.835562 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 8162:8198, ack 3957, win 938, options [nop,nop,TS val 3038586744 ecr 4021138889], length 36
13:39:39.835979 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3957:3993, ack 8198, win 501, options [nop,nop,TS val 4021138984 ecr 3038586744], length 36
13:39:39.901060 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 3993:4029, ack 8198, win 501, options [nop,nop,TS val 4021139049 ecr 3038586744], length 36
13:39:39.929687 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 8198:8234, ack 4029, win 938, options [nop,nop,TS val 3038586838 ecr 4021139049], length 36
13:39:39.961123 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 4029:4065, ack 8234, win 501, options [nop,nop,TS val 4021139109 ecr 3038586838], length 36
13:39:39.994135 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 8234:8270, ack 4065, win 938, options [nop,nop,TS val 3038586902 ecr 4021139109], length 36
13:39:40.031712 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 4065:4101, ack 8270, win 501, options [nop,nop,TS val 4021139180 ecr 3038586902], length 36
13:39:40.058915 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 8270:8306, ack 4065, win 938, options [nop,nop,TS val 3038586966 ecr 4021139142], length 36
13:39:40.084305 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 4101:4137, ack 8306, win 501, options [nop,nop,TS val 4021139232 ecr 3038586966], length 36
13:39:40.126322 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 8306:8342, ack 4137, win 938, options [nop,nop,TS val 3038587035 ecr 4021139232], length 36
13:39:40.174670 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 4137:4173, ack 8342, win 501, options [nop,nop,TS val 4021139323 ecr 3038587035], length 36
13:39:40.177467 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 8342:8378, ack 4137, win 938, options [nop,nop,TS val 3038587087 ecr 4021139232], length 36
13:39:40.210529 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 4173:4209, ack 8378, win 501, options [nop,nop,TS val 4021139359 ecr 3038587087], length 36
13:39:40.259681 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 4209:4245, ack 8378, win 501, options [nop,nop,TS val 4021139408 ecr 3038587145], length 36
13:39:40.267931 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 8378:8414, ack 4209, win 937, options [nop,nop,TS val 3038587177 ecr 4021139323], length 36
13:39:40.305048 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 8414:8450, ack 4245, win 937, options [nop,nop,TS val 3038587212 ecr 4021139408], length 36
13:39:40.355172 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 8450:8486, ack 4245, win 937, options [nop,nop,TS val 3038587263 ecr 4021139453], length 36
13:39:40.423970 IP archlinux.56960 > ec2-52-87-244-84.compute-1.amazonaws.com.ssh: Flags [P.], seq 4245:4281, ack 8486, win 501, options [nop,nop,TS val 4021139572 ecr 3038587263], length 36
13:39:40.519581 IP ec2-52-87-244-84.compute-1.amazonaws.com.ssh > archlinux.56960: Flags [P.], seq 8486:8618, ack 4281, win 937, options [nop,nop,TS val 3038587427 ecr 4021139572], length 132
